Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access,URL,Keywords,Language,Pages,Actions
"Refining the systematic literature review process—two participant-observer case studies","-","Barbara Kitchenham; Pearl Brereton; Mark Turner; Mahmood Niazi; Stephen Linkman; Rialette Pretorius; David Budgen","2010","Empirical Software Engineering","10.1007/s10664-010-9134-8","114","-","https://doi.org/10.1007/s10664-010-9134-8","","-","-","Include"
"Using Forward Snowballing to update Systematic Reviews in Software Engineering","-","Katia Romero Felizardo; Emília Mendes; Marcos Kalinowski; Érica Ferreira de Souza; Nandamudi L. Vijaykumar","2016","Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","10.1145/2961111.2962630","100","-","https://doi.org/10.1145/2961111.2962630","","-","1-6","Include"
"Investigating the Use of a Hybrid Search Strategy for Systematic Reviews","-","Érica Mourão; Marcos Kalinowski; Leonardo Murta; Emília Mendes; Claes Wohlin","2017","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","10.1109/esem.2017.30","73","-","https://doi.org/10.1109/esem.2017.30","","-","193-198","Include"
"Reference-based search strategies in systematic reviews","-","Mats Skoglund; Per Runeson","2009","Electronic workshops in computing","10.14236/ewic/ease2009.4","69","-","https://doi.org/10.14236/ewic/ease2009.4","","-","-","Include"
"Action research as a model for industry-academia collaboration in the software engineering context","-","Kai Petersen; Çiğdem Gencel; Negin Asghari; Dejan Baca; Stefanie Betz","2014","Proceedings of the 2014 international workshop on Long-term industrial collaboration on software engineering","10.1145/2647648.2647656","67","-","https://doi.org/10.1145/2647648.2647656","","-","55-62","Include"
"Empirical software engineering research with industry: Top 10 challenges","-","Claes Wohlin","2013","2013 1st International Workshop on Conducting Empirical Studies in Industry (CESI)","10.1109/cesi.2013.6618469","48","-","https://doi.org/10.1109/cesi.2013.6618469","","-","43-46","Include"
"How Reliable Are Systematic Reviews in Empirical Software Engineering?","-","Stephen G. MacDonell; Martin Shepperd; Barbara Kitchenham; Emília Mendes","2010","IEEE Transactions on Software Engineering","10.1109/tse.2010.28","108","-","https://doi.org/10.1109/tse.2010.28","","-","-","Include"
"Second-generation systematic literature studies using snowballing","-","Claes Wohlin","2016","Proceedings of the 20th International Conference on Evaluation and Assessment in Software Engineering","10.1145/2915970.2916006","66","-","https://doi.org/10.1145/2915970.2916006","","-","1-6","Include"
"Determining the Impact of Software Engineering Research on Practice","-","Leon J. Osterweil; Carlo Ghezzi; Jeff Kramer; Alexander L. Wolf","2008","Computer","10.1109/mc.2008.85","53","-","https://doi.org/10.1109/mc.2008.85","","-","-","Include"
"Bridging the Research-Practice Gap in Requirements Engineering through Effective Teaching and Peer Learning","-","Andrew M. Connor; Jim Buchan; Krassie Petrova","2009","2009 Sixth International Conference on Information Technology: New Generations","10.1109/itng.2009.134","36","-","https://doi.org/10.1109/itng.2009.134","","-","678-683","Include"
"Empirical studies for innovation dissemination","-","María Teresa Baldassarre; Danilo Caivano; Giuseppe Visaggio","2013","Proceedings of the 17th International Conference on Evaluation and Assessment in Software Engineering","10.1145/2460999.2461020","26","-","https://doi.org/10.1145/2460999.2461020","","-","144-152","Include"
"Achieving industrial relevance in software engineering education","-","Claes Wohlin; Björn Regnell","1999","Proceedings 12th Conference on Software Engineering Education and Training (Cat. No.PR00131)","10.1109/csee.1999.755175","55","-","https://doi.org/10.1109/csee.1999.755175","","-","16-25","Include"
"Who needs replication?","-","Graeme Porte","2013","CALICO Journal","10.11139/cj.30.1.10-15","43","-","https://doi.org/10.11139/cj.30.1.10-15","","-","-","Include"
