DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Simulation-Based Evaluation for the Impact of Personnel Capability on Software Testing Performance,"Jithinan Sirathienchai, Peraphon Sophatsathit, Decha Dechawatanapaisal",(missing journal),2012,"This study presents a decision making process in three steps of knowledge management for test organization using process simulation and financial analysis. First, project cost assessment of test knowledge management process subjects to different project duration and number of staffs. Two knowledge management simulation models representing experienced personnel with knowledge sharing and inexperienced personnel with internal training respectively are employed to contrast test personnel capability. Second, performance evaluation of software testing process by different personnel capability is conducted to simulate system test using three project metrics, namely, duration, effort cost, and quality. Third, a comparative financial analysis is prepared to determine the best solution by return on investment, payback period, and benefit cost ratio. The results from three stages of finding are discussed to arrive at the final scenario. We provide a case study evaluating how software testing industry needs to build effective test organization with high quality personnel for sustainable development and improvement.",78941125,5,43,(missing PubMedId)
(missing DOI),Cost Estimation for Model-Driven Interoperability: A Canonical Data Modeling Approach,"P. Mork, W. Melo, S. Dutcher, C. Curtis, M. Scroggs",2014 14th International Conference on Quality Software,2014,"Canonical data modeling (CDM) is a method for reducing the total cost of integrating information systems. CDM enhances model-driven development (MDD) by making explicit situations in which data components are being reused (i.e., shared across systems). In this paper, we present cost models for data modeling and data integration, with and without CDM. We then demonstrate how to use those cost models (during project planning) to determine if CDM is a good fit for an enterprise. Next, we provide the first empirical estimates of the costs associated with data component creation, reuse, and integration in an MDD environment. We conclude with technical lessons learned performing CDM for our government clients.",76380345,4,27,(missing PubMedId)
(missing DOI),A QUALITATIVE EMPIRICAL INVESTIGATION OF CONTRIBUTING SUCCESS FACTORS FOR SOFTWARE TESTING OUTSOURCING PROJECTS,"Fatin Filzahti Ismail, R. Razali",(missing journal),2015,"Software testing outsourcing is becoming attractive among organisations that desire to gain high quality products within reasonable cost while allowing testing experts to assure its quality. Despite these promising advantages however, organisations have yet to learn the factors that contribute to such projects’ success. The necessary planning and actions could not thus be taken towards the effort. Consequently, software testing outsourcing projects still fail. This study aimed to address this concern by collating the factors from previous research. The investigation continued by confirming the factors besides discovering other relevant factors from software testing practitioners. This study adopted qualitative approach where it employed semi-structured interviews involving five practitioners, who represented both client and vendor. The data were analysed using content analysis. The results show that there are two aspects to be considered, namely Process and People. The former contains nine factors and the latter comprises four factors. Each factor has specific elements, which delineates the characteristics or roles that it owns. The findings provide practitioners with understanding of conducting software testing outsourcing projects effectively.",73720880,8,34,(missing PubMedId)
(missing DOI),Quantitative Productivity Analysis of a Domain-Specific Modeling Language,"J. Hoffert, D. Schmidt, A. Gokhale",(missing journal),2014,"Model-driven engineering (MDE), in general, and Domain-Specific Modeling Languages (DSMLs), in particular, are increasingly used to manage the complexity of developing applications in various domains. Although many DSML benefits are qualitative ( e.g. , ease of use, familiarity of domain concepts), there is a need to quantitatively demonstrate the benefits of DSMLs ( e.g. , quantify when DSMLs provide savings in development time) to simplify comparison and evaluation. This chapter describes how we conducted quantitative productivity analysis for a DSML ( i.e. , the Distributed Quality-of-Service (QoS) Modeling Language (DQML)). Our analysis shows (1) the significant quantitative productivity gain achieved when using a DSML to develop configuration models compared with not using a DSML, (2) the significant quantitative productivity gain achieved when using a DSML interpreter to automatically generate implementation artifacts as compared to alternative methods when configuring application entities, and (3) the viability of quantitative productivity metrics for DSMLs.",54979175,1,45,(missing PubMedId)
(missing DOI),Factors with Negative Influence on Software Testing Practice in Spain: A Survey,"Luis Fernandez-Sanz, M. Teresa Villalba, José Ramón Hilera, Raquel Lacuesta",Communications in computer and information science,2009,"Software testing is the commonest technique for software quality assurance. It is present in every development project and concentrates a large percentage of effort, there are still not many studies which address the real practice of individuals and organizations. Anyway, practitioners usually agree with the idea that software testing efficiency and effectiveness in their organizations might be improved. Two previous studies in Spain have revealed implemented testing practices in organizations and individual performance of software professionals when designing test cases should be improved. This paper presents the results of a survey designed to know if 23 factors determined by a panel of experts in 2007 may explain this situation of testing practice. Data collected reveal that none of the factors is clearly rejected as a negative influence for testing although some of them are not generally accepted. Exploratory statistical analysis reveals relations between certain pairs of items as well as a new grouping in factors.",49867812,25,27,(missing PubMedId)
(missing DOI),Investigating the relationship between schedules and knowledge transfer in software testing,"Katja Karhu, Ossi Taipale, Kari Smolander",Information & Software Technology,2009,(missing abstract),30482622,21,61,(missing PubMedId)
(missing DOI),Trade-off between automated and manual software testing,"Ossi Taipale, Jussi Kasurinen, Katja Karhu, Kari Smolander",International Journal of Systems Assurance Engineering and Management,2011,"The study explores the current state of test automation in software testing organizations by focusing on the views and observations of managers, testers and developers in each organization. The case study was conducted in selected organizational units that develop and test technical software for industrial automation or telecommunication domains. The data was collected with 41 theme-based interviews in each unit. The interview data was analyzed qualitatively by using the grounded theory research method. It was found that although test automation was viewed as beneficial, it was not utilized widely in the companies. The main benefits of test automation were quality improvement, the possibility to execute more tests in less time and fluent reuse of testware. The major disadvantages were the costs associated with developing test automation especially in dynamic customized environments. Such issues as properties of tested products, attitudes of employees, resource limitations, and customers influenced the level of test automation in the case organizations.",28310519,56,52,(missing PubMedId)
(missing DOI),Knowledge management initiatives in software testing: A mapping study,"Érica Ferreira de Souza, Ricardo de Almeida Falbo, Nandamudi Lankalapalli Vijaykumar",Information & Software Technology,2014,(missing abstract),27204828,61,59,(missing PubMedId)
(missing DOI),Knowledge Creation and Loss within a Software Organization: An Exploratory Case Study,"Davi Viana, T. Conte, S. Marczak, Raymundo Ferreira, C. D. Souza",2015 48th Hawaii International Conference on System Sciences,2015,"Software development activities are very critical, since most of them heavily depend on individuals' knowledge and their capabilities. This knowledge must be retained and managed in order to avoid productivity breakdowns. This paper empirically explores how knowledge is created and lost in a software organization, and discusses implications for software development. This is done through a case study in which we investigated a Brazilian R&D Institute. We found that knowledge creation can be achieved through: (1) knowledge sources, (2) architectural frameworks that contain common applications and architectures for a set of projects, and (3) lessons learned that contains concerns regarding previous projects. Additionally, we verified that some teams' actions might influence knowledge loss. To identify and to understand which aspects are related to managing knowledge is the first step towards avoiding its loss and facilitating organizational learning. Our work contributes to this end.",21000882,11,31,(missing PubMedId)
(missing DOI),Understanding Mobile Operators' Capabilities Within Convergence Processes,Y. Chiang,(missing journal),2008,(missing abstract),14006851,0,115,(missing PubMedId)
(missing DOI),The Role of Experience in Software Testing Practice,"Armin Beer, R. Ramler",2008 34th Euromicro Conference Software Engineering and Advanced Applications,2008,"Practitioners report that experience plays an important role in effective software testing. We investigate the role of experience in a multiple case study about three successful projects conducted at Siemens Austria and document the state of practice in testing software systems. The studied projects were employed from the domains telecommunications, insurance and banking, as well as safety-critical railway systems. The study shows that test design is to a considerable extent based on experience in all three projects and that experience-based testing is an important supplementary approach to requirements-based testing. The study further analyzes the different sources of experience, the perceived value of experience for testing, and the measures taken to manage and evolve this experience.",4493165,77,19,(missing PubMedId)
