oci,citing,cited,creation,timespan,journal_sc,author_sc
06602714865-061203116252,10.1145/3210713.3210722,10.1016/j.infsof.2016.07.006,2018-05-18,P1Y6M,no,no
061103131441-061203116252,10.1016/j.infsof.2019.106225,10.1016/j.infsof.2016.07.006,2020-07,P3Y8M,yes,no
06330472199-061203116252,10.1145/3643664.3648205,10.1016/j.infsof.2016.07.006,2024-04-16,P7Y5M,no,yes
06601357299-061203116252,10.1002/smr.2345,10.1016/j.infsof.2016.07.006,2021-03-19,P4Y4M,no,yes
06203382334-061203116252,10.1145/3368089.3418542,10.1016/j.infsof.2016.07.006,2020-11-07,P4Y0M,no,no
06802310065-061203116252,10.1108/jiuc-02-2020-0001,10.1016/j.infsof.2016.07.006,2020-07-13,P3Y8M,no,no
06404404893-061203116252,10.1080/20421338.2023.2173403,10.1016/j.infsof.2016.07.006,2023-02-25,P6Y3M,no,no
061701212825-061203116252,10.1109/ms.2019.2914663,10.1016/j.infsof.2016.07.006,2020-11,P4Y0M,no,yes
062103923686-061203116252,10.23919/cisti58278.2023.10211674,10.1016/j.infsof.2016.07.006,2023-06-20,P6Y7M,no,no
06120675597-061203116252,10.1145/3494519,10.1016/j.infsof.2016.07.006,2022-07-31,P5Y8M,no,no
061701212941-061203116252,10.1109/ms.2018.227110307,10.1016/j.infsof.2016.07.006,2019-07,P2Y8M,no,yes
061602347641-061203116252,10.1145/3210459.3210462,10.1016/j.infsof.2016.07.006,2018-06-28,P1Y7M,no,no
061403866688-061203116252,10.1080/00131911.2022.2149701,10.1016/j.infsof.2016.07.006,2022-12-28,P6Y1M,no,no
06320479883-061203116252,10.1007/978-3-031-71142-8_19,10.1016/j.infsof.2016.07.006,2024,P7Y,no,no
061203116052-061203116252,10.1016/j.infsof.2018.02.002,10.1016/j.infsof.2016.07.006,2018-07,P1Y8M,yes,no
06290168034-061203116252,10.1016/j.jss.2023.111654,10.1016/j.infsof.2016.07.006,2023-06,P6Y7M,no,no
062302288449-061203116252,10.1109/meco.2019.8760101,10.1016/j.infsof.2016.07.006,2019-06,P2Y7M,no,no
061801936712-061203116252,10.3390/su13179849,10.1016/j.infsof.2016.07.006,2021-09-02,P4Y10M,no,no
06304777150-061203116252,10.1007/s44163-024-00182-9,10.1016/j.infsof.2016.07.006,2024-11-04,P8Y0M,no,no
061302901119-061203116252,10.1109/icstw55395.2022.00043,10.1016/j.infsof.2016.07.006,2022-04,P5Y5M,no,no
06602724084-061203116252,10.1109/educon.2018.8363419,10.1016/j.infsof.2016.07.006,2018-04,P1Y5M,no,no
061303348500-061203116252,10.1109/icic50835.2020.9288582,10.1016/j.infsof.2016.07.006,2020-11-03,P4Y0M,no,no
06902349815-061203116252,10.1145/3239235.3239241,10.1016/j.infsof.2016.07.006,2018-10-11,P1Y11M,no,no
0648072553-061203116252,10.1007/s10664-023-10288-w,10.1016/j.infsof.2016.07.006,2023-02-28,P6Y3M,no,no
061203115995-061203116252,10.1016/j.infsof.2018.06.007,10.1016/j.infsof.2016.07.006,2018-11,P2Y0M,yes,yes
06202067579-061203116252,10.23919/cisti54924.2022.9820166,10.1016/j.infsof.2016.07.006,2022-06-22,P5Y7M,no,no
06501896113-061203116252,10.1109/cesser-ip.2019.00010,10.1016/j.infsof.2016.07.006,2019-05,P2Y6M,no,no
062103949664-061203116252,10.1016/j.seps.2023.101579,10.1016/j.infsof.2016.07.006,2023-06,P6Y7M,no,no
061302131253-061203116252,10.1007/s11192-017-2419-6,10.1016/j.infsof.2016.07.006,2017-06-12,P0Y7M,no,yes
061901128615-061203116252,10.1016/j.techfore.2021.120913,10.1016/j.infsof.2016.07.006,2021-09,P4Y10M,no,no
06440169517-061203116252,10.4018/978-1-6684-6234-8.ch003,10.1016/j.infsof.2016.07.006,2023-02-24,P6Y3M,no,no
06902914310-061203116252,10.1145/3461001.3474301,10.1016/j.infsof.2016.07.006,2021-09-06,P4Y10M,no,no
06203068912-061203116252,10.1007/s13198-019-00899-2,10.1016/j.infsof.2016.07.006,2019-10-28,P2Y11M,no,no
061503069585-061203116252,10.1080/17477778.2019.1598782,10.1016/j.infsof.2016.07.006,2019-04-16,P2Y5M,no,no
06203566214-061203116252,10.1109/icccs51487.2021.9776343,10.1016/j.infsof.2016.07.006,2021-10-04,P4Y11M,no,no
06350419535-061203116252,10.1108/eor-03-2023-0003,10.1016/j.infsof.2016.07.006,2019-04-11,P2Y5M,no,no
06402120004-061203116252,10.1145/3501774.3501779,10.1016/j.infsof.2016.07.006,2021-11-19,P5Y0M,no,no
061204290742-061203116252,10.32431/kace.2024.27.4.014,10.1016/j.infsof.2016.07.006,2024-07-31,P7Y8M,no,no
061602347883-061203116252,10.1145/3193965.3193970,10.1016/j.infsof.2016.07.006,2018-05-28,P1Y6M,no,no
062602265547-061203116252,10.1007/978-3-319-63874-4_15,10.1016/j.infsof.2016.07.006,2017,P0Y,no,no
062301140123-061203116252,10.1109/access.2019.2924075,10.1016/j.infsof.2016.07.006,2019,P2Y,no,no
06303710199-061203116252,10.1080/08993408.2022.2071543,10.1016/j.infsof.2016.07.006,2022-05-17,P5Y6M,no,no
062401234900-061203116252,10.1007/s12652-022-03873-2,10.1016/j.infsof.2016.07.006,2022-05-25,P5Y6M,no,no
06401880590-061203116252,10.1145/3084226.3084264,10.1016/j.infsof.2016.07.006,2017-06-15,P0Y7M,no,yes
062203120071-061203116252,10.1007/s10009-022-00647-1,10.1016/j.infsof.2016.07.006,2022-02-18,P5Y3M,no,no
062501065461-061203116252,10.1016/j.jclepro.2020.120861,10.1016/j.infsof.2016.07.006,2020-06,P3Y7M,no,no
06102081611-061203116252,10.1145/3377812.3381406,10.1016/j.infsof.2016.07.006,2020-06-27,P3Y7M,no,no
061302130780-061203116252,10.1007/s11192-018-2907-3,10.1016/j.infsof.2016.07.006,2018-09-22,P1Y10M,no,yes
0606838201-061203116252,10.5753/sbqs_estendido.2024.244814,10.1016/j.infsof.2016.07.006,2024-11-05,P8Y0M,no,no
0605072930-061203116252,10.1109/ubmk63289.2024.10773510,10.1016/j.infsof.2016.07.006,2024-10-26,P7Y11M,no,no
061602381681-061203116252,10.23919/mipro55190.2022.9803658,10.1016/j.infsof.2016.07.006,2022-05-23,P5Y6M,no,no
06802310254-061203116252,10.12688/emeraldopenres.12891.1,10.1016/j.infsof.2016.07.006,2019-04-11,P2Y5M,no,no
062103192397-061203116252,10.1145/3439961.3440005,10.1016/j.infsof.2016.07.006,2020-12,P4Y1M,no,no
061504137701-061203116252,10.1016/j.infsof.2023.107364,10.1016/j.infsof.2016.07.006,2024-03,P7Y4M,yes,no
0643080136-061203116252,10.1007/978-3-031-25207-5_4,10.1016/j.infsof.2016.07.006,2023,P6Y,no,no
061902463012-061203116252,10.1109/icse-seip.2017.20,10.1016/j.infsof.2016.07.006,2017-05,P0Y6M,no,no
0607850822-061203116252,10.7146/cfasr.v8i1.151273,10.1016/j.infsof.2016.07.006,2017-03-15,P0Y4M,no,no
061504190336-061203116252,10.18261/njips.3.1.5,10.1016/j.infsof.2016.07.006,2024-02-08,P7Y3M,no,no
06702065396-061203116252,10.4018/978-1-7998-3661-2.ch005,10.1016/j.infsof.2016.07.006,2021,P4Y,no,no
061703475208-061203116252,10.47992/ijcsbe.2581.6942.0187,10.1016/j.infsof.2016.07.006,2022-08-25,P5Y9M,no,no
061102925353-061203116252,10.18260/1-2--36634,10.1016/j.infsof.2016.07.006,,,no,no
061401030282-061203116252,10.1007/s10664-020-09851-6,10.1016/j.infsof.2016.07.006,2020-10-08,P3Y11M,no,no
061102349186-061203116252,10.1145/3183519.3183541,10.1016/j.infsof.2016.07.006,2018-05-27,P1Y6M,no,no
062204220198-061203116252,10.1002/spe.3312,10.1016/j.infsof.2016.07.006,2024-01-17,P7Y2M,no,no
0630593358-061203116252,10.1016/j.jss.2018.09.054,10.1016/j.infsof.2016.07.006,2018-12,P2Y1M,no,yes
062604228437-061203116252,10.1134/s0361768823080029,10.1016/j.infsof.2016.07.006,2023-12,P7Y1M,no,no
062504287594-061203116252,10.1007/s10664-024-10472-6,10.1016/j.infsof.2016.07.006,2024-06-10,P7Y7M,no,no
061103131093-061203116252,10.1016/j.infsof.2022.106908,10.1016/j.infsof.2016.07.006,2022-07,P5Y8M,yes,no
061604341301-061203116252,10.1109/saner60148.2024.00086,10.1016/j.infsof.2016.07.006,2024-03-12,P7Y4M,no,no
061804008370-061203116252,10.1007/978-3-031-39386-0_14,10.1016/j.infsof.2016.07.006,2023,P6Y,no,no
06202820484-061203116252,10.1186/s40309-022-00196-5,10.1016/j.infsof.2016.07.006,2022-04-25,P5Y5M,no,no
