Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Development of an Ontology-based Approach for Knowledge Management in Software Testing","Software development organizations are seeking to add quality to their products. Testing processes are strategic elements to manage projects and product quality. However, advances in technology and the emergence of increasingly critical applications make testing a complex task and large volumes of information are generated. In fact, software testing is a knowledge intensive process. Because of this, these organizations have shown a growing interest in Knowledge Management (KM) programs, which in turn support the improvement of testing procedures. KM emerges as a means to manage testing knowledge, and, consequently, to improve software quality. However, there are only a few KM solutions supporting software testing. This paper reports experiences from the development of an approach, called Ontology-based Testing Knowledge Management (OntoT-KM), that aims to assist in launching KM initiatives in the software testing domain with the support of Knowledge Management Systems (KMSs).  OntoT-KM provides a process guiding how to start applying KM in software testing. OntoT-KM is based on the findings of a systematic mapping on KM in software testing and the results of a survey with testing practitioners. Moreover, OntoT-KM considers the conceptualization established by a Reference Ontology on Software Testing (ROoST). As a proof of concept, OntoT-KM was applied to develop a KMS called Testing KM Portal (TKMP), which was evaluated in terms of usefulness, usability, and functional correctness. Results show that the developed KMS from OntoT-KM is a potential system for managing knowledge in software testing, so, the approach can guide KM initiatives in software testing.","É. Souza; R. Falbo; N. Vijaykumar; K. Felizardo; G. V. Meinerz; Marcos S. Specimille; Alexandre G. N. Coelho","2021","Journal of Software Engineering Research and Development","10.5753/jserd.2021.1898","3","Include"
"Ontology-Based Regression Testing: A Systematic Literature Review","Web systems evolve by adding new functionalities or modifying them to meet users’ requirements. Web systems require retesting to ensure that existing functionalities are according to users’ expectations. Retesting a web system is challenging due to high cost and time consumption. Existing ‘systematic literature review’ (SLR) studies do not comprehensively present the ontology-based regression testing approaches. Therefore, this study focuses on ontology-based regression testing approaches because ontologies have been a growing research solution in regression testing. Following this, a systematic search of studies was performed using the “Preferred Reporting Items for Systematic Reviews and Meta-Analyses” (PRISMA) guidelines. A total of 24 peer-reviewed studies covering ontologies (semantic and inference rules) and regression testing, published between 2007 and 2019, were selected. The results showed that mainly ontology-based regression testing approaches were published in 2011–2012 and 2019 because ontology got momentum in research in other fields of study during these years. Furthermore, seven challenges to ontology-driven regression testing approaches are reported in the selected studies. Cost and validation are the main challenges examined in the research studies. The scalability of regression testing approaches has been identified as a common problem for ontology-based and other benchmark regression testing approaches. This SLR presents that the safety of critical systems is a possible future research direction to prevent human life risks.","Muhammad Hasnain; I. Ghani; M. F. Pasha; S. Jeong","2021","Applied Sciences","10.3390/app11209709","5","Include"
"Ontologies in human–computer interaction: A systematic literature review","Human–Computer Interaction (HCI) is a multidisciplinary area that involves a diverse body of knowledge and a complex landscape of concepts, which can lead to semantic problems, hampering communication and knowledge transfer. Ontologies have been successfully used to solve semantics and knowledge-related problems in several domains. This paper presents a systematic literature review that investigated the use of ontologies in the HCI domain. The main goal was to find out how HCI ontologies have been used and developed. 35 ontologies were identified. As a result, we noticed that they cover different HCI aspects, such as user interface, interaction phenomenon, pervasive computing, user modeling / profile, HCI design, interaction experience and adaptive interactive system. Although there are overlaps, we did not identify reuse among the 35 analyzed ontologies. The ontologies have been used mainly to support knowledge representation and reasoning. Although ontologies have been used in HCI for more than 25 years, their use became more frequent in the last decade, when ontologies address a higher number of HCI aspects and are represented as both conceptual and computational models. Concerning how ontologies have been developed, we noticed that some good practices of ontology engineering have not been followed. Considering that the quality of an ontology directly influences the quality of the solution built based on it, we believe that there is an opportunity for HCI and ontology engineering professionals to get closer to build better and more effective ontologies, as well as ontology-based solutions.","S. D. Costa; M. Barcellos; R. Falbo","2021","Appl. Ontology","10.3233/ao-210255","15","Include"
"Synthesizing researches on Knowledge Management and Agile Software Development using the Meta-ethnography method","Abstract Context: Software development processes are considered as knowledge intensive and therefore Knowledge Management (KM) can be applied to efficiently manage the knowledge generated. Agile practices can benefit software organizations in terms of KM. Some studies have already presented evidence about this relationship. However, the intersection of these two areas still requires further clarification. Objective: This study synthesizes research on KM and Agile Software Development (ASD) using the meta-ethnography method considering Scrum and XP frameworks. Method: In order to achieve the proposed goal, first, a diagnostic was conducted in different project domains with agile and traditional software development in order to identify the performance of KM activities. Second, the phases of the meta-ethnography analysis method were applied in a set of studies selected from a tertiary review on KM and ASD, as well as classic guides and area references. Finally, the relationships that were identified among the areas investigated were analyzed from interviews with agile development methodology experts. Results: The most common activity investigated between KM and ASD is knowledge sharing. However, in the practical view of software development companies, the attention is on how to use the generated knowledge. Conclusion: The clarification of how KM is present in each agile value, practices, and artifacts allows a reflection on how much knowledge was created, shared, and applied during ASD. Besides, such results presented in this study enable organizations to know each other better and to explore more each KM activity, thus contributing to delivering more value to the customer.","B. Napoleão; É. Souza; Glauco Antonio Ruiz; K. Felizardo; G. V. Meinerz; N. Vijaykumar","2021","Journal of Systems and Software","10.1016/j.jss.2021.110973","12","Include"
"Grey Literature in Software Engineering: A Critical Review","Abstract Context: Grey Literature (GL) recently has grown in Software Engineering (SE) research since the increased use of online communication channels by software engineers. However, there is still a limited understanding of how SE research is taking advantage of GL. Objective: This research aimed to understand how SE researchers use GL in their secondary studies. Methods: We conducted a tertiary study of studies published between 2011 and 2018 in high-quality software engineering conferences and journals. We then applied qualitative and quantitative analysis to investigate 446 potential studies. Results: From the 446 selected studies, 126 studies cited GL but only 95 of those used GL to answer a specific research question representing almost 21% of all the 446 secondary studies. Interestingly, we identified that few studies employed specific search mechanisms and used additional criteria for assessing GL. Moreover, by the time we conducted this research, 49% of the GL URLs are not working anymore. Based on our findings, we discuss some challenges in using GL and potential mitigation plans. Conclusion: In this paper, we summarized the last 10 years of software engineering research that uses GL, showing that GL has been essential for bringing practical new perspectives that are scarce in traditional literature. By drawing the current landscape of use, we also raise some awareness of related challenges (and strategies to deal with them).","F. Kamei; I. Wiese; Crescencio Rodrigues Lima Neto; Ivanilton Polato; V. Nepomuceno; Waldemar Ferreira; Márcio Ribeiro; Carolline Pena; Bruno Cartaxo; G. Pinto; S. Soares","2021","Information and Software Technology","10.1016/j.infsof.2021.106609","49","Include"
"An Ontology-Based Approach to Automated Test Case Generation","-","Shreya M. Banerjee; N. Debnath; A. Sarkar","2021","SN Computer Science","10.1007/s42979-020-00420-8","10","Include"
"Sinhala Handwritten Character Recognition using Convolutional Neural Network","Handwritten character recognition is widely used for the English language. It is difficult to create a character recognition model for south Asian languages because of its shape and compound characters. Among other South Asian languages (e.g.: - Tamil, Hindi, Malayalam, etc.) Sinhala characters are unique, because of their shape, which are having mostly curves and dots. These unique characteristics make it difficult to create a model to recognize Sinhala’s handwritten characters. Recognizing handwritten characters rather than typed characters is more complicated because the handwriting of each individual is varying from each other. Therefore the recognition of Sinhala handwritten character need to be improved. Convolutional Neural Network (CNN) is playing a vital role in character recognition by supporting the more efficient image classification. This research focuses on recognizing Sinhala handwritten characters using CNN. Google colaboratory platform is used for the experiment, and python programming language is used for the implementation part. In total, around 110,000 image data were used for the experiment. CNN’s performance was evaluated by training and testing the dataset by increasing the number of character classes. When it reaches 100 character class it shows reasonable accuracy of 90.27%. The model was trained by 5 sets of different 100 character classes. Finally, the overall accuracy of 82.33% is achieved for 434 characters. This model outerformed than similar systems.","Janotheepan Mariyathas; Vasanthapriyan Shanmuganathan; Banujan Kuhaneswaran","2020","2020 5th International Conference on Information Technology Research (ICITR)","10.1109/icitr51448.2020.9310914","10","Include"
"Experience Report on Developing an Ontology-based Approach for Knowledge Management in Software Testing","Software testing is a knowledge intensive process. Thus, Knowledge Management (KM) emerges as a means to manage testing knowledge, and, consequently, to improve software quality. However, there are only a few KM solutions supporting software testing. This paper reports experiences from the development of an approach, Ontology-based Testing Knowledge Management (OntoT-KM), to assist in launching KM initiatives in the software testing domain with the support of Knowledge Management Systems (KMSs). OntoT-KM provides a process guiding how to start applying KM in software testing. OntoT-KM is based on the findings of a systematic mapping on KM in software testing and the results of a survey with testing practitioners. Moreover, OntoT-KM considers the conceptualization established by a Reference Ontology on Software Testing (ROoST). As a proof of concept, OntoT-KM was applied to develop a KMS called Testing KM Portal (TKMP), which was evaluated in terms of usefulness, usability and functional correctness. Results show that the developed KMS from OntoT-KM is a potential system for managing knowledge in software testing, so, the approach is able to guide KM initiatives in software testing.","É. Souza; R. Falbo; Marcos S. Specimille; Alexandre G. N. Coelho; N. Vijaykumar; K. Felizardo; G. V. Meinerz","2020","Brazilian Symposium on Software Quality","10.1145/3439961.3439993","3","Include"
"Enhancing software development through project‐based learning and the quality of planning","R&amp;D plays a crucial role in developing new products, the commercialisation of which can drive corporate growth. Over three decades, research has focused the new product development (NPD) process and it is known that developing new products is a knowledge‐intensive, risky activity. Since industry surveys show that many NPD projects, particularly software‐based ones, fail to meet their schedules and objectives. Consequently, today’s R&amp;D managers still need ways to plan and conduct NPD more effectively. Project‐based Learning (PBL) – the generation of specific technical and process knowledge during and after a project – is a potential way to improve NPD. Therefore, this paper investigated the research question: Does PBL enhance the quality of planning in subsequent software development projects? The study used a sample of 47 software development projects at three multinational organisations. Significantly, the findings show that PBL does enhance the quality of planning of subsequent software development projects. In particular, the quality of planning is increased in projects with high levels of uncertainty; where team members work in a project‐based structure with strong collaboration; and when the pressure to deliver projects is high. The contribution of the research at a theoretical level is that it identified an important link between learning and the quality of planning in subsequent NPD projects. At a practical level, the study identifies specific steps R&amp;D managers can take to improve the performance of software development projects, with all their associated challenges.","Marco Antônio Amaral Féris; K. Goffin; O. Zwikael; Dinghong Fan","2020","R and D Management","10.1111/radm.12435","11","Include"
"THE ANALYSIS OF KNOWLEDGE MANAGEMENT PROCESS ON SOFTWARE DEVELOPMENT PROCESS: A SYSTEMATIC REVIEW","-","A. Ramadhan; Lila Setiyani","2020","-","10.31933/dijdbm.v1i4.363","1","Include"
"An Optimized and Unique Methodology for Software Test Case Automation Strategy","Natural Language Processing is one of the major techniques in Artificial Intelligence which is used for processing, analysis and conversion of text from one language to another. It is used to process human language in a way machines can analyze. Test case generation is one of the most important parameters in determining the fitness value of the algorithms and to determine what test cases are accepted by the algorithms. The necessity to generate automatic test cases arises from the need to produce generations of test cases for complex algorithms. The main objectives of this paper include generating test cases automatically by the means of methodical practice and trail enhancement and defining test strategy for any software application which will not only reduce the long man hour needed to create the manual test cases but also help in searching the bugs and technical errors quickly, efficiently and accurately. The sole purpose of this paper is to automatically generate test cases on the basis of available test resources. In current scenario, the generation of most test cases is done manually. The manual generation of test cases is prone to human errors. The other test case generation systems do not rely upon NLP due to which ambiguous use cases often lead to incorrect generation of test cases. Due to the possibility in human error and having room for improvement in the other documented test case generation method for software application , the proposed system not only generates automated test cases according to the use cases but also makes use of ONTOLOGY and NLP UMTG TOOLKIT for overcoming ambiguous problem statements. In software development and testing, the main purpose is to produce high software with high quality output while optimizing the cost and the time needed to complete the application development. To achieve this goal, software teams will perform the test on their application before live production. For Test Automation, documentation plays a crucial role. To test the software output, functionality and quality, different kinds of documentation will be developed","Balika. J. Chelliah","2020","International Journal of Advanced Trends in Computer Science and Engineering","10.30534/ijatcse/2020/183922020","2","Include"
"A systematic literature review on semantic web enabled software testing","Abstract Software testing, as a major verification and validation activity which revolves around quality tests, is a knowledge-intensive activity. Hence, it is reasonable to expect that it can be improved by effective application of semantic web technologies, e.g., ontologies, which have been frequently used in knowledge engineering activities. The objective of this work is to investigate and provide a better understanding of how semantic web enabled techniques, i.e., the techniques that are based on the effective application of the semantic web technologies, have been used to support software testing activities. For this purpose, a Systematic Literature Review based on a predefined procedure is conducted. A total of 52 primary studies were identified as relevant, which have undergone a thorough meta-analysis with regards to our posed research questions. This study indicates the benefits of semantic web enabled software testing in both industry and academia. It also identifies main software testing activities that can benefit from the semantic web enabled techniques. Furthermore, contributions of such techniques to the testing process are thoroughly examined. Finally, potentials and difficulties of applying these techniques to software testing, along with the promising research directions are discussed.","Mahboubeh Dadkhah; S. Araban; S. Paydar","2020","Journal of Systems and Software","10.1016/j.jss.2019.110485","31","Include"
"Machine Learning Approaches for Emotion Classification of Music: A Systematic Literature Review","Music is ubiquitous in every corner of the world. Fundamental mechanisms for how a listener perceives emotions in music as well as the way in which the emotional goal of a composer is expressed through music have been widely explored. Not only humans but also machines can recognize emotions in music once they are trained. As a result, various machine learning approaches are tested by previous researchers for their capability in music emotion recognition. To identify the current status of research and the research gaps in the above domain, we conducted a systematic literature review, through which we investigated several key aspects including types of music, acoustic features, feature extraction mechanisms, classification algorithms, and their performance. Six electronic databases were searched for studies published until 2018. Initial set of studies comprised of 198 studies from which 14 were selected for detailed analysis. Findings revealed that a considerable number of studies have used western music whereas other cultural-specific music still remains to be explored. Acoustic features pertaining to pitch, intensity, timbre, tempo, rhythm, melody, and harmony have been commonly used. While Support Vector Machine, Naive Bayes, and k-Nearest Neighbor are among the frequently used standard classifiers, Fuzzy classifiers and ensemble learning also have been attempted. The discrepancies among the classifier performances reported in previous studies could be partially attributed to the differences in the key aspects we have considered. The study makes a significant contribution by providing a comprehensive and up-to-date review of the previous attempts made in the selected domain.","Charles Joseph; Sugeeswari Lekamge","2019","International Conference on Automation and Computing","10.1109/icac49085.2019.9103378","7","Include"
"Aprendizagem Corporativa em Teste de Software: Uma Revisão Sistemática da Literatura","Os produtos de software desenvolvidos pelas organizações brasileiras têm se destacado no mercado mundial de TI. Devido as falhas existentes, há a necessidade dessas empresas melhorarem a qualidade dos seus processos e as suas técnicas de trabalho. Nesse sentido, a educação tenta descobrir quais rumos devem ser tomados e quais as melhores formas de capacitar uma organização para estabelecer uma estrutura organizacional de teste. O uso de ˜hackathons são uma tendência crescente para promover o engajamento entre a equipe durante resolução de problemas. Dessa forma, o hackathon oferece uma excelente estrutura para que a aprendizagem corporativa em teste de software seja desenvolvida de maneira efetiva e inclusiva.","D. Silva; D. Ferreira","2019","Anais do XXV Workshop de Informática na Escola (WIE 2019)","10.5753/cbie.wie.2019.1209","-","Include"
"The effect of knowledge management on perceived software process improvement","
Purpose
This study aims to present insights on the relationship between perceived software process improvement (PSPI) and information technology (IT)-enabled knowledge management (KM). Moreover, the study provides an understanding of the mediating effect of critical success factors (CSFs) for effective IT-enabled KM on the previously mentioned relationship.


Design/methodology/approach
The respondents in the study involved employees in the software engineering (SE) organizations in national capital region in India. The structured equation modeling technique carried out through IBM.SPSS.Amos.v21-EQUiNOX was used to develop and evaluate the proposed framework. The proposed hypothesis testing has been carried out by path analysis using SPSS process macro.


Findings
The findings of the empirical study reveal that a significant relationship exists between the variables under investigation. Moreover, it was observed that CSFs act as a mediator between PSPI and IT-enabled KM. The identified factors are associated with various aspects as managerial, infrastructure, financial, systems and processes for IT-enabled KM. IT acts as a moderator between KM and PSPI and facilitate the various phases of KM as knowledge creation, storage and retrieval, sharing and application of knowledge.


Practical implications
The present study introduces a framework for identifying and applying the CSFs that influence the KM initiatives for PSPI in an SE organization. The practitioners can use the CSFs for assessing the performance (strengths and weaknesses) in process of software development and KM practices. Researchers can use the resultant framework proposed in the empirical study for PSPI, IT-enabled KM, and in academia, the framework supports to organize the study of IT-enabled KM for PSPI.


Originality/value
The general comprehension of the relationship between IT-enabled KM and PSPI for Indian SE organizations is scarce in the literature. Following, the analysis expands the earlier research by exploring the mediating role of the CSFs and the moderating effect of IT for KM and PSPI relationship.
","Mitali Chugh; Nitin Chanderwal; A. Mishra; D. K. Punia","2019","VINE Journal of Information and Knowledge Management Systems","10.1108/vjikms-11-2018-0106","2","Include"
"Bug report severity level prediction in open source software: A survey and research opportunities","Abstract Context: The severity level attribute of a bug report is considered one of the most critical variables for planning evolution and maintenance in Free/Libre Open Source Software. This variable measures the impact the bug has on the successful execution of the software system and how soon a bug needs to be addressed by the development team. Both business and academic community have made an extensive investigation towards the proposal methods to automate the bug report severity prediction. Objective: This paper aims to provide a comprehensive mapping study review of recent research efforts on automatically bug report severity prediction. To the best of our knowledge, this is the first review to categorize quantitatively more than ten aspects of the experiments reported in several papers on bug report severity prediction. Method: The mapping study review was performed by searching four electronic databases. Studies published until December 2017 were considered. The initial resulting comprised of 54 papers. From this set, a total of 18 papers were selected. After performing snowballing, more nine papers were selected. Results: From the mapping study, we identified 27 studies addressing bug report severity prediction on Free/Libre Open Source Software. The gathered data confirm the relevance of this topic, reflects the scientific maturity of the research area, as well as, identify gaps, which can motivate new research initiatives. Conclusion: The message drawn from this review is that unstructured text features along with traditional machine learning algorithms and text mining methods have been playing a central role in the most proposed methods in literature to predict bug severity level. This scenario suggests that there is room for improving prediction results using state-of-the-art machine learning and text mining algorithms and techniques.","L. Gomes; R. Torres; M. Côrtes","2019","Information and Software Technology","10.1016/j.infsof.2019.07.009","50","Include"
"Social Capital and Knowledge Networks of Software Developers: A Case Study","Software development is a problem-solving activity, where ideas are combined in complex ways to create a software product that embodies new knowledge. In this endeavor, software developers constantly look for actionable knowledge to help solve the problem at hand. While knowledge management efforts in the software development domain traditionally involved technical initiatives such as knowledge repositories, experience factories, and lessons-to-learn databases, there is a growing appreciation in the software community of the role of developers' personal knowledge networks in software development. However, research is scarce on the nature of these networks, the knowledge resources accessed from these networks, and the differences, if any, between developers of different experience levels. This research seeks to fill this void. Based on a case study in a software development organization, this research explores the nature of knowledge networks of developers from a social capital perspective. Specifically, it examines the structural and relational dimensions of developers' knowledge networks, identifies the specific actionable knowledge resources accessed from these networks, and explores how entry-level and more experienced developers differ along these dimensions. The findings from the qualitative analysis, backed by limited quantitative analysis of the case study data underpin the discussion, implications for practice and future research directions.","Venugopal Balijepally; Sridhar P. Nerur","2019","Journal of Database Management","10.4018/jdm.2019100103","2","Include"
